Good?,Improvement Notes,Title,Description,Estimated Time,Difficulty,Completion Criteria,Category,Social,Idea Credit
,,Donate Blood,Visit a blood bank or donation center and donate blood or plasma,1-2 hours,Easy,Donation receipt or bandage photo,Social,,abbs2882
,,Karaoke Night,Perform karaoke at a bar or public venue in front of an audience of strangers,1-2 hours,Medium,Video or photo of you performing karaoke at a public venue,Social,,abbs2882
,,Cold Shower for 7 Days,Take a cold shower or cold plunge (minimum 2 minutes of cold exposure) every day for 7 consecutive days,7 days,Medium,7 consecutive days of cold exposure documented,Physical,,abbs2882
,,Get Scuba Certified,Complete a PADI Open Water or equivalent scuba diving certification course,2-4 weeks,Hard,Scuba certification card received,Achievement,,vikingnips
,,Donate Clothes to a Shelter,Gather clothes you no longer wear and donate them directly to a homeless shelter or clothing bank,2-3 hours,Easy,Donation made with receipt or photo at the shelter,Social,,vikingnips
,,Cook a Meal for a Stranger,Prepare a homemade meal and share it with someone you don't know personally,3-5 hours,Medium,"Meal prepared and shared with a stranger, with photo",Social,,mop559
,,Enter an Unfamiliar Competition,"Sign up for and compete in a tournament or competition in a skill or sport you have little to no experience with (chess tournament, pickleball league, spelling bee, etc.)",Variable,Medium,Competed in event (winning not required),Achievement,,mop559
,,Negotiate 20% Off,"Successfully negotiate at least 20% off a purchase or bill (food, car, service, subscription)",30 min,Medium,Receipt or documentation showing negotiated discount of 20%+,Achievement,,mop559
,,Build a Piece of Furniture,Design and build a functional piece of furniture from raw materials (no flat-pack kits),1-4 weeks,Hard,Functional furniture piece completed and in use with photo,Creative,,mop559
,,Get in Your Local Newspaper,Do something noteworthy enough to be mentioned or featured in your local newspaper or news outlet,Variable,Hard,Published article or mention with your name,Achievement,,mop559
,,Visit Another Player in Their City,Travel to visit another Big Year participant in their home city and spend meaningful time together,1-3 days,Medium,Photo together in their city,Social,Collaborative,carsonr.
,,Learn to Ride a Unicycle,Learn to ride a unicycle well enough to travel at least 50 feet without falling,2-8 weeks,Hard,Video of riding 50+ feet unassisted,Physical,,gaberoni24
,,Plant a Tree,Plant a tree somewhere it can grow long-term (your yard or a community garden or an organized planting event),1-3 hours,Easy,Tree planted with photo,Achievement,,gaberoni24
,,Quit an Addiction,Identify a habit or substance you're dependent on and quit for at least 3 consecutive months,3+ months,Hard,3 consecutive months free from the identified habit,Achievement,,maps3109
,,Write a Children's Book,Write and illustrate a children's book about something you're passionate about,2-4 weeks,Medium,"Completed book with text and illustrations, at least 10 pages",Creative,,human_42
,,Solo Vacation,Plan and take a vacation entirely by yourself to a destination you've never been,2-7 days,Medium,"Trip completed alone to a new destination, with photos",Achievement,,sherm.the.worm
,,Start a Podcast or YouTube Channel,Create a podcast or YouTube channel and publish at least 3 episodes or videos,1-2 months,Medium,3+ episodes/videos published publicly,Creative,,musicatnip
,,Hold an Unfamiliar Animal,"Interact with or hold an animal species you've never touched before (reptile, bird of prey, tarantula, etc.)",1-2 hours,Easy,Photo or video of you with the new animal species,Achievement,,musicatnip
,,Summit a 14000-Foot Peak,Hike to the summit of a mountain with an elevation above 14000 feet,1-2 days,Hard,Summit photo with elevation marker or GPS proof,Physical,,lewcis
,,Try a Combat Sport,"Attend at least 3 classes in a combat sport you've never trained (boxing, jiu jitsu, muay thai, wrestling, etc.)",2-3 weeks,Medium,3 classes completed in a new combat sport,Physical,,lewcis
,,Learn to Juggle,Learn to juggle 3 objects for at least 30 consecutive catches,1-4 weeks,Medium,Video of 30+ consecutive catches with 3 objects,Physical,,lewcis
,,Sunrise to Sunset Outdoors,Spend an entire day from sunrise to sunset outdoors without going inside for any reason,1 day,Medium,Full day completed outdoors with no indoor visits,Physical,,florencemgormig
,,Public Transit Only for a Week,Use only public transportation for all travel for 7 consecutive days. No personal car or rideshare.,1 week,Medium,7 consecutive days without using a personal car or rideshare,Achievement,,lewcis
,,Delete a Social Media Account,"Permanently delete one of your social media accounts (Instagram, TikTok, Twitter, Facebook, etc.)",30 min,Easy,Account permanently deleted (not just deactivated),Achievement,,carsonr.
,,Thank a Former Teacher,Write and send a heartfelt letter or email to a teacher from your past thanking them for a specific way they impacted your life,1-2 hours,Easy,Letter or email sent referencing a specific moment and its impact on you,Social,,sherm.the.worm
,,Go on a Meditation Retreat,Attend a meditation or mindfulness retreat of at least 2 days,2-10 days,Hard,Retreat attended for full duration,Achievement,,romcat100
,,Make a New Close Friend,Develop a genuine friendship with someone new. Spend meaningful one-on-one time together at least 5 times.,Variable,Medium,5+ hangouts with someone you weren't friends with at the start of the year,Social,,romcat100
,,Talk with an Unhoused Person,"Have a genuine, extended conversation with an unhoused person. Learn their name, hear their story, and share yours.",30-60 min,Medium,Had a real conversation and can share what you learned about their story,Social,,nikikees
,,Coffee Chat with a Stranger,"Approach strangers and ask them to have coffee with you until someone says yes, then have a genuine conversation",1-2 hours,Medium,Coffee purchased and real conversation had with a stranger who accepted,Social,,resurgentseven
,,Take a Long-Distance Train Ride,Ride Amtrak or equivalent train to a destination more than 12 hours away,12+ hours,Medium,Train ticket and photos from 12+ hour journey,Achievement,,cookie.mobster
,,Write a Novel,Write an original novel or novella of at least 50000 words,3-12 months,Hard,Completed manuscript of 50000+ words,Creative,,abbs2882
,,Guerrilla Garden,"Plant edible vegetables or herbs in a public space (park, unused lot, grocery store flower bed) and harvest the produce later",3-6 months,Medium,"Plants planted in public space, grown, and produce harvested with photos",Creative,,human_42
,,Sleep Outside Without Gear,Spend a full night sleeping outdoors with no tent or sleeping bag or other camping equipment,1 night,Medium,Full night spent sleeping outdoors with no gear,Physical,,mop559
,,High Five 100 Strangers,Get 100 different strangers to high five you in a single day,1 day,Medium,Video evidence of high-fiving 100+ strangers,Social,,gaberoni24
,,No Eating Out for a Month,Prepare every meal at home for 30 consecutive days. No restaurants or takeout or delivery.,30 days,Medium,30 consecutive days with only home-cooked meals,Achievement,,mop559
,,Go Skydiving,Complete a tandem or solo skydive from at least 10000 feet,Half day,Hard,Jump completed with photo or video,Physical,,sherm.the.worm
,,Try a Sensory Deprivation Tank,Spend at least 60 minutes floating in a sensory deprivation tank,1-2 hours,Easy,60+ minute float session completed,Achievement,,gaberoni24
,,Pay for the Person Behind You,Pay for the order of the person behind you in a drive-through line,10 min,Easy,Payment made for a stranger's order,Social,,sherm.the.worm
,,Complete a Triathlon,"Train for and complete a triathlon of any distance (sprint, olympic, or full Ironman)",2-6 months,Hard,Triathlon completed with official finish time,Physical,,carsonr.
,,Join a Sports League,"Join and complete a season in a recreational sports league (basketball, soccer, volleyball, kickball, etc.)",2-3 months,Medium,Full season completed in a recreational league,Physical,,gaberoni24
,,Go Vegan for a Month,Eat a fully vegan diet with no animal products for 30 consecutive days,30 days,Medium,30 consecutive days of fully vegan eating,Physical,,nikikees
,,Drive a Very Large Vehicle,"Get behind the wheel and drive a bus, semi truck, garbage truck, or other commercial-sized vehicle",1-2 hours,Medium,Photo or video of you driving the vehicle,Achievement,,jack_wittmayer
,,Capture an Invasive Species,"Legally capture or remove an invasive species in your area (spotted lanternfly, invasive plants, etc.)",1-4 hours,Medium,Photo of captured/removed invasive species with identification,Achievement,,jack_wittmayer
,,Halve Your Possessions,Get rid of at least half of your material possessions through donation or selling or responsible disposal,1-4 weeks,Hard,Before and after photos showing significant reduction,Achievement,,gaberoni24
,,Track a Metric and Present It,"Choose a personal metric (mood, sleep, spending, steps, etc.), track it daily for at least 6 months, and give a presentation on your findings",6+ months,Hard,6 months of data collected and presentation delivered to an audience,Achievement,,carsonr.
,,Make a Friend Cry Tears of Joy,Do something so thoughtful or meaningful for a friend that they cry happy tears,Variable,Medium,Friend confirms they cried tears of joy,Social,,jack_wittmayer
,,Put an App on the App Store,Build and publish a mobile app on the Apple App Store or Google Play Store,1-3 months,Hard,App live and downloadable with link,Achievement,,sherm.the.worm
,,Get a Stranger to Cook You a Meal,Convince a complete stranger to prepare and cook a meal for you,Variable,Hard,"Meal cooked for you by a stranger, with photo",Social,,mop559
,,Go to Therapy,Schedule and attend at least 3 sessions with a licensed therapist or counselor,3+ weeks,Medium,3 therapy sessions attended,Achievement,,maps3109
,,Pay Down a Loan by 50%,Make extra payments to reduce an outstanding loan or debt balance by at least 50%,Variable,Hard,Statement showing 50%+ reduction from starting balance,Achievement,,carsonr.
,,Attend an Unfamiliar Religious Service,Attend a religious service or ceremony from a faith tradition different from your own (or any tradition if you don't practice),1-3 hours,Easy,Service attended with reflection shared,Social,,vikingnips
,,Screen-Free Weekend,Go an entire weekend (Friday evening through Sunday evening) without using any screens. No phone or laptop or TV or tablet.,2 days,Hard,Full weekend completed with zero screen usage,Achievement,,human_42
,,Learn to Do a Backflip,Learn to perform a standing backflip on flat ground (gym training allowed during learning),1-3 months,Hard,Video of a standing backflip on flat ground,Physical,,resurgentseven
,,10000 Steps for 14 Days,Hit at least 10000 steps every single day for 14 consecutive days,14 days,Medium,Step tracking data showing 14 consecutive days of 10000+ steps,Physical,,lewcis
,,Learn an Instrument,Pick up a musical instrument you've never played and learn well enough to perform a complete song,1-6 months,Medium,Video of you playing a recognizable song start to finish,Creative,,lewcis
,,Visit Every National Park in Your State,Visit every national park or national monument in your state,Variable,Medium,Photo at each location documented,Achievement,,lewcis
,,No Processed Sugar for a Month,Cut out all processed sugar from your diet for 30 consecutive days. Natural sugars from whole fruit are allowed.,30 days,Medium,30 consecutive days without processed sugar,Physical,,gaberoni24
,,No Spending for a Week,Go 7 consecutive days without spending any money at all. Pre-paid bills like rent and utilities are fine.,1 week,Hard,7 consecutive days with zero transactions,Achievement,,nikikees
,,Do Stand-Up Comedy at an Open Mic,Write and perform an original stand-up comedy set at an open mic night,1-2 weeks prep,Hard,Performed a set at a real open mic night with video or photo,Creative,,musicatnip
,,Keep a Journal for 6 Months,Write in a journal at least 3 times per week for 6 consecutive months,6 months,Medium,"Journal with entries spanning 6 months, averaging 3+ per week",Achievement,,carsonr.
,,Camp 30 Nights,Spend at least 30 total nights sleeping outdoors in a tent or under the stars this year,1 year,Hard,30 nights of camping documented with dates,Physical,,carsonr.
,,Exchange Handwritten Letters,Send a handwritten letter to a friend by mail and receive a handwritten letter back,1-2 weeks,Easy,Letter sent and response received via mail,Social,,nikikees
,,Try Surströmming,Open and eat Swedish fermented herring (surströmming). Outdoors strongly recommended.,30 min,Medium,Video of opening the can and eating the surströmming,Absurd,,lewcis
,,Chug a Gallon of Milk,Attempt to drink an entire gallon of milk in one sitting. Barfing is allowed.,30 min,Medium,Video of honest attempt at the full gallon,Absurd,,vikingnips
,,Officiate a Wedding,Get ordained online and officially officiate someone's wedding ceremony,Variable,Hard,Wedding ceremony officiated by you with photo,Social,,gaberoni24
,,Make a Viral Video,Create and post a video or meme that reaches at least 100000 views on any platform,Variable,Hard,Post reaching 100000+ views with screenshot proof,Creative,,sherm.the.worm
,,Do 50% More Pull-Ups,"Increase your max set of pull-ups by 50% compared to your starting number (e.g., 10 to 15)",1-6 months,Medium,Before and after max pull-up counts documented,Physical,,romcat100
,,Convince a Wealthy Person to Donate,Convince someone with a $10M+ net worth to make a donation to one of your favorite charities,Variable,Hard,Donation confirmed by the donor or charity,Social,,romcat100
,,Start a Nonprofit,Start a registered nonprofit organization and raise at least $1000 in donations,Variable,Hard,Nonprofit registered and $1000+ in donations received,Achievement,,sherm.the.worm
