Good?,Improvement Notes,Title,Description,Estimated Time,Difficulty,Completion Criteria,Category,,Who Submitted
Default,,Volunteer as a High-Dosage Tutor,Complete one full semester tutoring 3+ sessions weekly through an established program,1 semester,Hard,Semester completed with 3+ sessions weekly,Social,,
Default,,Join or Start a Mutual Aid Network,Actively participate in a mutual aid network for 3+ months,3+ months,Medium,3+ months of active participation,Social,,
Default,,Volunteer at a Food Bank,Complete 16+ hours of food bank volunteering,16+ hours,Medium,16+ hours completed,Social,,
Default,,Complete QPR Suicide Prevention Training,"Complete Question, Persuade, Refer gatekeeper training",1.5 hours,Easy,Training completed,Achievement,,
Default,,Complete Mental Health First Aid Certification,Receive your MHFA certification,8 hours,Medium,Certification received,Achievement,,
Default,,Become a Crisis Line Volunteer,"Complete training and volunteer for 6+ months at a crisis line (Crisis Text Line, etc.)",6+ months,Hard,Training complete + 6 months of volunteering,Social,,
Duplicate,Dupe of: #33 Daily Kindness for a Month; #69 Random Kindness Day,Practice Systematic Kindness,Perform 3 intentional acts of kindness twice weekly for 4 consecutive weeks (24 total acts documented),4 weeks,Easy,24 acts documented,Social,,
Default,,Volunteer for a Befriending Program,Complete 6+ months of weekly contact with an isolated individual through an official befriending program,6+ months,Hard,6+ months of weekly contact completed,Social,,
Default,,Share Your Mental Health Experience,Have 3 conversations about your own mental health experiences with friends family or colleagues,Variable,Medium,3 conversations documented,Social,,
Default,,Advocate for Workplace Mental Health,Submit a formal proposal for mental health benefits/resources to your employer or HR,2-4 hours,Medium,Formal proposal submitted,Achievement,,
Default,,Make Monthly Constituent Calls,Make phone calls to elected representatives for 6 consecutive months,6 months,Medium,At least 1 call/month for 6 months,Achievement,,
Default,,Build a Relationship with Legislative Staff,Have 3+ substantive interactions with the same staff member over 6 months,6 months,Hard,"3+ interactions (calls, meetings, detailed correspondence)",Social,,
Default,,Support a Backbone Organization,Donate any amount or volunteer 10+ hours for an organization that coordinates collective action,10+ hours,Medium,Donation made or volunteer hours completed,Achievement,,
Default,,Participate in Nonviolent Collective Action,"Participate in 2 organized protests, marches, or collective actions within one year",1 year,Medium,2 actions participated in,Achievement,,
Default,,Complete a Career Impact Assessment,Complete written analysis of current work using ITN framework and compare against 3+ alternative paths,4+ hours,Medium,Written analysis completed,Achievement,,
Default,,Build Career Capital in a Neglected Field,"Complete substantial learning project in high-priority problem area (AI safety, biosecurity, etc.)",3+ months,Hard,"Course, certification, or side project completed",Achievement,,
Default,,Complete a Skills-Based Volunteering Project,"Complete one 5-10 hour consulting project through Catchafire, Common Impact, or similar",5-10 hours,Medium,Project completed,Achievement,,
Default,,Optimize Workplace Giving,Research employer's matching gift program and enroll/make matched donation or confirm no program exists,30 min,Easy,Enrolled in matching or confirmed no program,Achievement,,
Default,,Join a Nonprofit Board,Complete governance training and serve on a nonprofit board or committee for 1+ year,1+ year,Hard,Training complete + 1 year of service,Achievement,,
Default,,Contribute to Social Impact Open Source,"Make 3+ meaningful contributions (code, documentation, issues) to open source projects serving social good",Variable,Medium,3+ meaningful contributions made,Creative,,
Default,,Take the Further Pledge,Formally commit to giving everything above a set living allowance to effective causes,Lifetime,Hard,Pledge signed (lifetime major commitment),Achievement,,
Default,,Climb a Virtual Mountain on Stairs,"Accumulate stair climbing equivalent to a famous landmark's height (Empire State Building: 1576 steps, etc.)",Variable,Medium,Total steps climbed tracked across sessions,Physical,,
Default,,Master a Complex Dance Routine,Learn a full choreographed dance routine and perform it start to finish,Variable,Medium,Video performing complete routine from memory,Physical,,
Default,,Drink Only Water for One Week,Consume nothing but plain water for 7 consecutive days (no coffee soda juice alcohol tea),7 days,Medium,7 full days with zero other beverages,Physical,,
Default,,Write a Short Story in One Night,Write a complete short story from start to finish in a single overnight session,1 night,Medium,"Minimum 1500 words with beginning, middle, end completed between sunset and sunrise",Creative,,
Default,,Create a 24-Hour Time-Lapse Video,Record a continuous 24-hour period and compile into a time-lapse video,24 hours,Medium,Final video showing full day-night cycle from fixed position,Creative,,
Default,,30-Day Daily Photo Challenge,Take one intentional creative photo every day for 30 consecutive days,30 days,Medium,Collection of 30 photos each from different day with distinct theme,Creative,,
Default,,Record a One-Second-a-Day Video Diary,"Film one second of video every day for 90 days, then compile",90 days,Medium,Final compiled video of 90 seconds showing 90 different days,Creative,,
Default,,Design Your Own Puzzle or Riddle,Create an original puzzle that someone else can solve,Variable,Easy,"Puzzle is solvable (tested), has clear rules",Creative,,
Duplicate,Other challenges cover poetry/singing/etc. Keep 434 (comedy-specific) instead.. Dupe of: #434 Do Stand-Up Comedy at an Open Mic,Perform at an Open Mic,Perform something original in front of a live audience at an open mic event,Variable,Medium,"Complete performance (comedy, poetry, music, storytelling) at public open mic",Creative,,
Default,,Handwrite 10 Gratitude Letters,Write and send 10 handwritten letters to people who have positively impacted your life,Variable,Medium,"10 separate handwritten letters, actually delivered",Social,,
Default,Dupes: #8 Practice Systematic Kindness,Daily Kindness for a Month,Perform one intentional act of kindness every day for 30 days,30 days,Easy,30 documented acts across 30 consecutive days,Social,,
Default,,No Complaining for a Week,Go 7 consecutive days without voicing any complaints,7 days,Medium,7 days with zero verbal complaints (restart if you slip),Achievement,,
Default,,Bake 10 Unique Recipes in 48 Hours,Make 10 different baked goods or cooked dishes in one weekend,48 hours,Medium,"10 distinct recipes, completed within 48 hours, photo documentation",Creative,,
Default,Dupes: #45 Sleep Under the Stars; #436 Camp 30 Nights,Camp in Your Backyard,Sleep outside overnight at your own home,1 night,Easy,Full night sleeping outdoors (balcony or rooftop counts),Achievement,,
Default,,Blindfolded Candy Chopstick Challenge,"Blindfolded, pick up and eat small candies using only chopsticks in 60 seconds",60 seconds,Easy,Video documenting attempt with final count,Absurd,,
Default,,Balance Spoons on Your Face,Balance as many spoons as possible on your face simultaneously,Variable,Easy,Photo showing all spoons balanced at once (no adhesive),Absurd,,
Default,,Blow a Giant Bubblegum Bubble,Blow the largest bubblegum bubble you can,Variable,Easy,Photo or video of largest bubble with something for scale,Absurd,,
Default,,Eat Beans with a Toothpick,Eat as many baked beans as possible in 60 seconds using only a toothpick,60 seconds,Easy,Video of attempt with final count (one bean at a time speared),Absurd,,
Default,,Declutter 100 Items,"Remove 100 items from your home (donated, recycled, or discarded)",Variable,Easy,"100 items removed, duplicates count individually",Achievement,,
Default,,Build Something Useful from Scrap,Create a functional object using only materials you already have or can get for free,Variable,Medium,"Object serves real purpose, made from repurposed materials, photo in use",Creative,,
Default,,Spontaneous Road Trip,Take an unplanned trip to somewhere you've never been,Variable,Easy,Return home with photo from destination,Achievement,,
Default,,Sunrise Summit,"Reach any elevated viewpoint (hill, rooftop, overlook) before sunrise",Early morning,Easy,Witness the sunrise from your chosen spot,Achievement,,
Duplicate,Dupe of: #36 Camp in Your Backyard; #408 Sleep Outside Without Gear,Sleep Under the Stars,Spend a night sleeping outdoors where you can see the sky,1 night,Easy,Slept outside overnight (backyard counts),Achievement,,
Default,,Wild Water Entry,"Fully submerge yourself in a natural body of water (lake, river, ocean, waterfall)",Variable,Easy,Gone completely underwater at least once,Physical,,
Default,,Bucket List Location,Visit a place you've always wanted to see in person,Variable,Medium,Physically there with photo proof,Achievement,,
Default,,Hometown Tourist,Spend a full day exploring your own area as if you were a visitor,1 day,Easy,Visited at least 3 spots you'd never been to before,Achievement,,
Default,,Solo Navigation,Travel somewhere unfamiliar alone and navigate without GPS for at least part of it,Variable,Medium,"Solo trip completed using maps, signs, or asking locals",Achievement,,
Default,,Multi-Day Journey,"Complete a physical journey lasting 2+ days (hiking, biking, walking between towns)",2+ days,Hard,Traveled under your own power for at least 2 consecutive days,Physical,,
Default,,Festival Immersion,Attend a cultural celebration or community event outside your usual circle,Variable,Easy,Participated (not just observed) in at least one activity,Social,,
Hesitant,Dupes: #205 Create a Finished Creative Work; #242 Share Your Creative Work,Write and Share Original Work,Write something personal and share it with at least one person,Variable,Easy,Someone else has read your writing,Creative,,
Default,,Create and Display Art,Make a piece of visual art and put it somewhere others can see it,Variable,Easy,"Creation displayed (wall, online, gifted)",Creative,,
Default,,Learn One Song,Learn to play or sing one complete song,Variable,Medium,Can perform it start to finish for at least one person,Creative,,
Default,,Cook Something New,Prepare a dish from a cuisine you've never cooked before,Variable,Easy,Eaten the finished dish,Creative,,
Hesitant,Too vague,Build Something Functional,"Create something useful with your hands (furniture, clothing, tool, craft)",Variable,Medium,Item exists and works for intended purpose,Creative,,
Default,,30-Day Creative Streak,Do one creative act daily for 30 consecutive days,30 days,Medium,30 dated entries with no gaps,Creative,,
Default,,Produce Media,"Create a short film, song, podcast episode with clear beginning and end",Variable,Medium,Finished product shared with at least one person,Creative,,
Default,,Finish a Challenging Book,Read a book you've been putting off or that stretches you intellectually,Variable,Easy,Read the final page,Achievement,,
Duplicate,Dupe of: #202 Host a Gathering of 10+ People,Host a Gathering,Organize and host a social event at your place (any size and format),Variable,Medium,"Guests came, stayed, and left",Social,,
Default,,Meet Someone New,Attend an event where you know few/no people and start a genuine conversation,Variable,Medium,Exchanged contact info or made plans to meet again,Social,,
Default,,Plan a Surprise,Secretly organize something special for someone you care about,Variable,Medium,Executed it and witnessed their reaction,Social,,
Default,,Organize a Reunion,Bring together a group of people who haven't all been together in a while,Variable,Medium,Reunion happened (virtual or in-person),Social,,
Default,Dupes: #230 Say Yes to Everything for a Day,Day of Yes,Let someone else plan a full day and participate in everything they choose,1 day,Medium,Completed entire day as planned by them,Social,,
Default,,Phone-Free Time Together,Spend at least 4 hours with others without anyone using phones,4+ hours,Easy,Time passed with devices put away,Social,,
Default,,Host Game or Theme Night,"Plan and run a themed social event (game night, trivia, costume party)",Variable,Easy,Event happened and people participated,Social,,
Default,,Join a Regular Group,"Commit to a club, team, or recurring group for at least one month",1+ month,Medium,Attended 4+ sessions and know people's names,Social,,
Default,,Volunteer Consistently,Volunteer for the same organization at least 4 times over a month or more,1+ month,Medium,Fulfilled commitment,Social,,
Default,Dupes: #8 Practice Systematic Kindness,Random Kindness Day,Spend one day intentionally doing kind things for strangers (3+ acts minimum),1 day,Easy,Day over with at least 3 distinct kind acts,Social,,
Default,,Organize a Drive,Collect items or funds from others for a cause and deliver them,Variable,Medium,Collected goods/money reached recipient organization,Social,,
Default,Dupes: #342 Organize a Neighborhood Cleanup with 5+ People,Community Cleanup,Participate in cleaning or improving a public space,2+ hours,Easy,Spent at least 2 hours on the effort,Physical,,
Duplicate,Dupe of: #86 Donate Blood Six Times; #376 Donate Blood; #454 Group Blood Donation,Give Blood or Register,Donate blood/plasma or register as organ/marrow donor,Variable,Easy,Donation complete or registration confirmed,Physical,,
Default,,Help Someone with a Task,"Offer substantial help to someone (moving, repairs, childcare, yardwork)",Variable,Easy,Task is finished,Social,,
Default,,Mentor Someone,Regularly guide someone less experienced in an area you know,Variable,Medium,Met with them at least 4 times and they've made progress,Social,,
Default,,Holiday Service,Spend a holiday volunteering instead of or in addition to personal celebration,Variable,Medium,Completed volunteer shift on that day,Social,,
Default,Dupes: #189 Start a Gratitude Practice,30-Day Gratitude Journal,Write down at least one thing you're grateful for every day for 30 days,30 days,Easy,30 consecutive dated entries,Achievement,,
Default,Dupes: #181 Write a Letter to Your 80-Year-Old Self,Letter to Future Self,"Write a detailed letter to yourself to open in 5+ years, then seal and store it",Variable,Easy,"Letter written, dated, sealed, and stored",Achievement,,
Default,Dupes: #204 Try Something That Terrifies You; #241 Do Something That Scares You,Face a Fear,Identify a personal fear and take a concrete action to confront it,Variable,Medium,Done the scary thing once (scale to personal baseline),Achievement,,
Default,,30-Day Habit Challenge,Commit to building one positive habit or breaking one negative habit for 30 consecutive days,30 days,Medium,Maintained streak for 30 days with no breaks,Achievement,,
Excellent,,Shadow Someone in Another Career,Spend half a day+ observing someone in a field you're curious about,4-8 hours,Easy,Shadow completed + written reflection,Achievement,,
Excellent,RIP partnered people.,Ask Out Someone Who Intimidates You,Ask someone on a date who you're genuinely interested in but nervous about,Seconds,Medium,The ask happened (outcome irrelevant),Social,,
Excellent,,Say I Love You to 5 New People,Tell five people you genuinely love that you love them - people you've never said it to before,Variable,Medium,All 5 documented (who and when),Social,,
Excellent,,Go Car-Free for One Month,Complete 30 consecutive days without driving a personal vehicle,30 days,Hard,30 days completed (emergency/accessibility exceptions allowed),Physical,,
Duplicate,Dupe of: #416 Go Vegan for a Month,Go Fully Plant-Based for 30 Days,Complete 30 consecutive days eating no animal products,30 days,Hard,30 consecutive days completed,Physical,,
Excellent,,Switch to Renewable Electricity,Switch your home to a renewable energy provider/green tariff or install any solar capacity,30 min,Easy,Switch confirmed or solar installed,Achievement,,
