Title,Description,Estimated Time,Difficulty,Completion Criteria,Category
The Unlived Life Inventory,"List dreams and paths you abandoned due to others' expectations, then circle three that still call to you",1 hour,Easy,"List has 10+ items, three are circled",Achievement
The Avoided Conversation,Tell one person a truth about yourself you've been hiding - real aspirations or a boundary,30 min,Medium,"Conversation happened, documented what you said",Social
The Authentic Day,Spend one full day doing only what you genuinely want with no obligations or shoulds,1 day,Medium,"Day completed, logged what you gravitated toward",Achievement
Values Audit,"Write your top 3 values, compare against last month's activities, make one scheduling change to realign",2 hours,Easy,"3 values written, gaps identified, one calendar change made",Achievement
Personal Board of Directors,Identify 3-5 people who support your authentic self and ask if you can consult them before major decisions,1-2 hours,Medium,3+ people confirmed yes,Social
The Reconnection,Message three friends you haven't contacted in 1+ year with personalized messages referencing specific memories,30 min,Easy,3 personalized messages sent (not generic),Social
The Protected Call,Schedule a recurring monthly call with someone important and complete 3 consecutive months,3 months,Medium,3 consecutive monthly calls completed,Social
Letter to the Living,Write a letter to a living person expressing everything you'd want them to know if they were dying and deliver it,1-2 hours,Medium,"1+ page letter written, delivered by mail or read aloud",Social
The Friendship Trip,Take a trip with a friend (not family) - day trip counts,1 day+,Medium,"Trip completed, photo together from the trip",Social
The Collision Dinner,Host a meal introducing friends from different parts of your life who don't know each other,3-5 hours,Medium,"3+ guests from 2+ different worlds, meal completed",Social
Specific Appreciation,Tell 5 people what you specifically appreciate about them including a specific moment and how it affected you,1 week,Easy,"5 people told, each included specific moment + impact",Social
The Repair,Make the first move to repair one damaged relationship even if you think they should apologize first,Varies,Hard,"Reached out with repair intent, documented what you said",Social
Family Recording,Record an interview with a parent or elder about their life story,2-3 hours,Medium,"10+ questions prepared, 20+ min recording completed, saved in 2 locations",Social
Use Your Time Off,Take your full vacation/PTO this year or 10+ days if self-employed,Year-long,Medium,"All PTO scheduled, all PTO taken",Achievement
The Boundary Week,Leave work on time every day for one full work week,1 week,Medium,"On time defined in writing, 5/5 days met target",Achievement
Choose Presence,Attend one event important to someone you love that you would normally skip for work,Varies,Medium,"Event attended, it genuinely conflicted with work",Social
True Hourly Wage,"Calculate real hourly wage including commute, work brought home, stress recovery, and expenses",1 hour,Easy,"Calculation completed, written reflection on trade-off",Achievement
Define Enough,Calculate exactly how much money you need for the life you actually want,2 hours,Easy,"Number calculated with breakdown, compared to current trajectory",Achievement
Enroll in One Course,Enroll in and complete a course on something you've always wanted to learn,Varies,Medium,"Enrolled, completed with certificate or final project",Achievement
12 Books Outside Your Lane,Read 12 books this year in subjects outside your normal interests,1 year,Medium,12 books completed outside typical reading,Achievement
