id , created_at                   , title                                               , description                                                                                                                                                                                                                                     , category                            , estimated_time, completion_criteria                                                                                                             , submitted_by   , points, benchmark_elo, is_benchmark, benchmark_points
556, 2026-02-03 23:47:26.555825+00, The Authentic Day                                   , Describe your perfect day given no outside obligations and then do it.                                                                                                                                                                          , Growth/Self                         , Days          , Day completed - logged what you did.                                                                                            ,                ,     13,              ,            0, 
560, 2026-02-03 23:47:26.555825+00, Letter to the Living                                , Write a letter to a living person expressing everything you'd want them to know if they were dying and deliver it                                                                                                                               , Social                              , Days          , 1+ page letter written - delivered by mail or read aloud                                                                        ,                ,     24,              ,            0, 
568, 2026-02-03 23:47:26.555825+00, Apply Anyway                                        , Apply for an opportunity you think you're not ready for (job and grant and program)                                                                                                                                                             , Achievement                         , Days          , Application submitted (rejection doesn't matter)                                                                                ,                ,     15,              ,            0, 
571, 2026-02-03 23:47:26.555825+00, Time with Declining Health                          , Spend meaningful time with someone whose health is declining (aging relative and hospice volunteer and care facility visit)                                                                                                                     , Social                              , Days          , 3+ visits or sessions completed                                                                                                 ,                ,     23,              ,            0, 
579, 2026-02-03 23:47:26.555825+00, Earn a Verifiable Credential                        , Complete a recognized certification or course with proof of completion                                                                                                                                                                          , Achievement                         , Days          , Certificate or credential you can show                                                                                          ,                ,       ,              ,            0, 
581, 2026-02-03 23:47:26.555825+00, Digital Detox Day                                   , Spend 24 hours without phones computers or internet                                                                                                                                                                                             , Growth/Self                         , Days          , Full 24 hours passed                                                                                                            ,                ,      5,              ,            0, 
582, 2026-02-03 23:47:26.555825+00, Don't Speak for 48 Hours                            , Go 48 consecutive hours without speaking a single word and otherwise going about your normal routine                                                                                                                                            , Absurd & Social                     , Days          , 48 hours completed with zero spoken words                                                                                       ,                ,     18,              ,            0, 
583, 2026-02-03 23:47:26.555825+00, 12-Hour Meditation in Your Room                     , "Complete 12 hours of meditation* in a single day without leaving your room**
                                                                                          
                                                                                          *Breaks allowed for bodily functions.
                                                                                          **Your room could be replaced with any single location eg a picnic blanket in a park or wilderness a meditation retreat etc."                                                                                                                   , Growth/Self                         , Days          , 12 hours completed                                                                                                              ,                ,     19,              ,            0, 
587, 2026-02-03 23:47:26.555825+00, Wear Shoes on Wrong Feet for Entire Day             , Wear your left shoe on your right foot and vice versa for an entire waking day                                                                                                                                                                  , Absurd                              , Days          , Full day completed without switching them back                                                                                  ,                ,      4,              ,            0, 
590, 2026-02-03 23:47:26.555825+00, Attempt a Guinness World Record                     , Make an official or documented attempt at any Guinness World Record                                                                                                                                                                             , Achievement & Absurd                , Days          , Good faith attempt documented (bonus points for actually achieving it)                                                          ,                ,     19,              ,            0, 
594, 2026-02-03 23:47:26.555825+00, Bike 100 Miles in One Day                           , Complete a 100-mile bike ride in a single day                                                                                                                                                                                                   , Physical                            , Days          , Route tracked showing 100+ miles                                                                                                ,                ,     14,              ,            0, 
596, 2026-02-03 23:47:26.555825+00, Don't Shower for 5 Days                             , Go 5 consecutive days without showering or bathing                                                                                                                                                                                              , Absurd                              , Days          , 5 days completed                                                                                                                ,                ,      9,              ,            0, 
605, 2026-02-03 23:47:26.555825+00, Learn 3 Magic Tricks                                , Learn three different magic tricks well enough to perform them                                                                                                                                                                                  , Creative & Social                   , Days          , Perform all 3 tricks for someone without them figuring them out                                                                 ,                ,     10,              ,            0, 
611, 2026-02-03 23:47:26.555825+00, Organize a Group Hike                               , Plan and lead a hike with 4+ people                                                                                                                                                                                                             , Social                              , Days          , Hike completed with 4+ participants                                                                                             ,                ,      8,              ,            0, 
613, 2026-02-03 23:47:26.555825+00, Speak in Accent for Entire Day                      , Maintain a fake accent for an entire day in all interactions                                                                                                                                                                                    , Absurd                              , Days          , Full day completed without breaking character                                                                                   ,                ,     15,              ,            0, 
617, 2026-02-03 23:47:26.555825+00, Visit 10 Coffee Shops in Your City                  , Visit and order from 10 different coffee shops in your city                                                                                                                                                                                     , Uncategorized                       , Days          , 10 shops visited with photos/receipts                                                                                           ,                ,      7,              ,            0, 
624, 2026-02-03 23:47:26.555825+00, Give a tattoo                                       , Give someone a tattoo (any size)                                                                                                                                                                                                                , Achievement & Social                , Days          , Tattoo completed                                                                                                                ,                ,     16,              ,            0, 
625, 2026-02-03 23:47:26.555825+00, Buy Only Unfamiliar Groceries                       , Buy a week's worth of groceries where nothing is something you've ever eaten before                                                                                                                                                             , Absurd & Creative                   , Days          , Receipt showing unfamiliar items + photos of eating them                                                                        ,                ,     10,              ,            0, 
628, 2026-02-03 23:47:26.555825+00, See and Document 20 Bird Species                    , Observe and photograph/document 20 different bird species                                                                                                                                                                                       , Creative                            , Days          , 20 species documented with photos or detailed notes                                                                             ,                ,     12,              ,            0, 
634, 2026-02-22 02:10:37.105532+00, Contribute to Social Impact Open Source             , Make 3+ meaningful contributions (code and documentation and issues) to open source projects serving social good                                                                                                                                , Achievement & Growth/Self           , Days          , 3+ meaningful contributions made                                                                                                ,                ,      8,              ,            0, 
635, 2026-02-22 02:10:37.105532+00, Create a 24-Hour Time-Lapse Video                   , Record a continuous 24-hour period and compile into a time-lapse video                                                                                                                                                                          , Creative                            , Days          , Final video showing full day-night cycle from fixed position                                                                    ,                ,      8,              ,            0, 
638, 2026-02-22 02:10:37.105532+00, Handwrite 10 Gratitude Letters                      , Write and send 10 handwritten letters(or email if you dont have their address) to people who have positively impacted your life                                                                                                                 , Social & Creative                   , Days          , 10 separate handwritten letters - actually delivered                                                                            ,                ,     25,              ,            0, 
644, 2026-02-22 02:10:37.105532+00, Build Something Useful from Scrap                   , Create a functional object using only materials you already have or can get for free                                                                                                                                                            , Creative                            , Days          , Object serves real purpose - made from repurposed materials - photo in use                                                      ,                ,     10,              ,            0, 
645, 2026-02-22 02:10:37.105532+00, Hometown Tourist                                    , Spend a full day exploring your own area as if you were a visitor. Ask locals for highlights. Visit landmarks                                                                                                                                   , Social & Growth/Self                , Days          , Visited at least 3 spots you'd never been to before                                                                             ,                ,     13,              ,            0, 
650, 2026-02-22 02:10:37.105532+00, Create a Podcast                                    , Create a podcast episode                                                                                                                                                                                                                        , Creative                            , Days          , "Finished product posted online
                                                                                                                                                                                                                                                                                                                                                                                                  "                                                                                                                               ,                ,     14,              ,            0, 
652, 2026-02-22 02:10:37.105532+00, Day of Yes                                          , Let someone else plan a full day for you and participate in everything they choose                                                                                                                                                              , Absurd & Social                     , Days          , Completed entire day as planned by them                                                                                         ,                ,     19,              ,            0, 
654, 2026-02-22 02:10:37.105532+00, Shadow Someone in Another Career                    , Spend half a day+ observing someone in a field you're curious about                                                                                                                                                                             , Achievement                         , Days          , Shadow completed + written reflection                                                                                           ,                ,     11,              ,            0, 
656, 2026-02-22 02:10:37.105532+00, Say I Love You to 5 New People                      , Tell five people you genuinely love that you love them - people you've never said it to before                                                                                                                                                  , Social                              , Days          , All 5 documented (who and when)                                                                                                 ,                ,     18,              ,            0, 
658, 2026-02-22 02:10:37.105532+00, Switch to Renewable Electricity                     , Switch your home to a renewable energy provider/green tariff or install any solar capacity                                                                                                                                                      , Growth/Self                         , Days          , Switch confirmed or solar installed                                                                                             ,                ,     10,              ,            0, 
664, 2026-02-22 02:10:37.105532+00, Memorize 50 Digits of Pi                            , Memorize and recite 50 digits of pi from memory                                                                                                                                                                                                 , Absurd                              , Days          , Recite 3.14159... through 50 decimal places without reference                                                                   ,                ,     14,              ,            0, 
