Good?,Improvement Notes,Title,Description,Estimated Time,Difficulty,Completion Criteria,Category
Excellent,,The Authentic Day,"Describe your perfect day given no outside obligations, then do it.",1 day,Medium,"Day completed, logged what you did.",Achievement
Excellent,,Values Audit,"Write your top 10 values, make one small ongoing life change to better align with your values. https://qualitycharters.org/wp-content/uploads/2016/10/Hiring-For-Fit_Values-List.pdf",2 hours,Easy,"10 values written, change executed",Achievement
Excellent,,The Reconnection,Message three friends you haven't contacted in 1+ year with personalized messages referencing specific memories,30 min,Easy,3 personalized messages sent (not generic),Social
Excellent,,The Protected Call,Schedule a recurring monthly call with someone important and complete 3 consecutive months,3 months,Medium,3 consecutive monthly calls completed,Social
Excellent,,Letter to the Living,Write a letter to a living person expressing everything you'd want them to know if they were dying and deliver it,1-2 hours,Medium+,"1+ page letter written, delivered by mail or read aloud",Social
Excellent,,The Collision Dinner,Host a meal introducing friends from different parts of your life who don't know each other,3-5 hours,Medium,"3+ guests from 2+ different worlds, meal completed",Social
Excellent,,Specific Appreciation,Tell 5 people what you specifically appreciate about them including a specific moment and how it affected you,1 week,Easy,"5 people told, each included specific moment + impact",Social
Excellent,,Family Recording,Record an interview with a parent or elder about their life story,2-3 hours,Medium,"10+ questions prepared, 20+ min recording completed, saved in 2 locations",Social
Excellent,,Use Your Time Off,Take your full vacation/PTO this year or 10+ days if self-employed,Year-long,Easy,"All PTO scheduled, all PTO taken",Achievement
Excellent,,Enroll in One Course,Enroll in and complete a course on something you've always wanted to learn,Varies,Medium,"Enrolled, completed with certificate or final project",Achievement
Excellent,,12 Books Outside Your Lane,Read 12 books this year in subjects outside your normal interests,1 year,Medium,12 books completed outside typical reading,Achievement
Excellent,,Find a Mentor,Approach someone whose path you admire and ask for mentorship,Varies,Medium+,"Person identified, ask made, at least 3 meetings happened",Social
Excellent,,Apply Anyway,"Apply for an opportunity you think you're not ready for (job, grant, program)",2-3 hours,Easy+,Application submitted (rejection doesn't matter),Achievement
Excellent,,The Old Apology,Apologize for something you did years ago with a genuine apology that asks nothing in return,30 min,Medium,"Apology delivered, asked for nothing in return",Social
Excellent,,Say I Love You,Tell a family member I love you if you rarely do,5 min,Easy,Said it explicitly,Social
Excellent,,Time with Declining Health,"Spend meaningful time with someone whose health is declining (aging relative, hospice volunteer, care facility visit)",Varies,Medium,3+ visits or sessions completed,Social
Excellent,,30 Days Alcohol-Free,Go 30 consecutive days without drinking,30 days,Hard,30-day streak completed,Physical
Excellent,,Sleep 8+ Hours for 14 Nights,Get 8+ hours of actual sleep for two straight weeks,14 days,Medium,Sleep tracking data showing 14 consecutive nights,Physical
Excellent,,Master 10 New Meals,Learn to cook 10 nutritious meals without recipes,4-8 weeks,Medium,Photos of all 10 meals + can cook any on request,Achievement
Excellent,,Automate Retirement Savings,Open a retirement account and set up automatic contributions,1-3 hours,Easy,Account open + automatic transfer active,Achievement
Excellent,,Build an Emergency Fund,Save enough to cover 1-3 months of essential expenses,3-12 months,Medium,Bank statement showing target balance reached,Achievement
Excellent,,Complete a Salary Negotiation,Negotiate for more compensation in current role or new offer,2-5 hours,Medium,The negotiation conversation happened,Achievement
Excellent,,The Money Talk with Parents,"Direct conversation with parents about their financial situation, estate plans, and wishes",1-3 hours,Medium,Conversation happened + can answer basic questions about their situation,Social
Excellent,,Earn a Verifiable Credential,Complete a recognized certification or course with proof of completion,40-200 hours,Hard,Certificate or credential you can show,Achievement
Excellent,,Pitch an Idea to Leadership,Prepare and deliver a formal proposal to senior leadership,5-20 hours,Medium,The pitch meeting happened,Achievement
Excellent,,Digital Detox Day,Spend 24 hours without phones computers or internet,24 hours,Medium,Full 24 hours passed,Achievement
Excellent,,Don't Speak for 48 Hours,"Go 48 consecutive hours without speaking a single word, otherwise going about your normal routine",48 hours,Hard,48 hours completed with zero spoken words,Achievement
Excellent,,12-Hour Meditation in Your Room,Complete 12 hours of meditation in a single day without leaving your room,12 hours,Hard,12 hours completed,Achievement
Excellent,,Meet a Family Member You've Never Spoken To,Reach out to and have a meaningful conversation with a family member you've never actually talked to before,Variable,Hard,"Contact made, real conversation happened",Social
Excellent,,Start a Business and Make $100 Profit,Create a new business venture and generate at least $100 in actual revenue,Variable,Hard,$100 revenue documented (revenue minus all costs),Achievement
Excellent,,Write a Song,"Compose an original song with lyrics and melody (instrument optional, can be a cappella)",Variable,Medium,Complete song exists that you can perform start to finish,Creative
